"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","condition","video","age","gender","risk_first_to_mind","total_risk","judged_percent","total_judged","confidence","block","last_risk","experiment","door_choice","risk_break_trials"
"1:86",86,"first_win",64,0,"right",0.5,"3","first_time",1.0875,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:87",87,"first_win",104,0,"right",0.5,"3","first_time",1.1,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:88",88,"first_win",111,0,"right",0.5,"3","first_time",1.1125,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:89",89,"first_win",159,0,"right",0.5,"3","first_time",1.125,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:90",90,"first_win",144,1,"left",1,"4","first_time",1.15,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",0,"(80,100]"
"1:91",91,"first_win",149,0,"right",0.5,"3","first_time",1.1625,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:92",92,"first_win",92,0,"right",0.5,"3","first_time",1.175,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:93",93,"first_win",79,0,"right",0.5,"3","first_time",1.1875,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:94",94,"first_win",25,0,"right",0.5,"3","first_time",1.2,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",1,"(80,100]"
"1:95",95,"first_win",71,1,"left",0,"4","first_time",1.2,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,1,"Gain",0,"(80,100]"
"1:96",96,"first_win",16,1,"left",0,"4","first_time",1.2,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,0,"Gain",0,"(80,100]"
"1:97",97,"first_win",61,1,"left",0,"4","first_time",1.2,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,0,"Gain",0,"(80,100]"
"1:98",98,"first_win",118,1,"left",0,"4","first_time",1.2,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,0,"Gain",0,"(80,100]"
"1:99",99,"first_win",137,1,"left",0,"4","first_time",1.2,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,0,"Gain",0,"(80,100]"
"1:100",100,"first_win",162,0,"right",0.5,"3","first_time",1.2125,"cd1","Control","Restaurant",31,"F",2.5,0.43,0,200,8,5,0,"Gain",1,"(80,100]"
"1:101",1,"second_win",2,NA,NA,-1,NA,"first_time",0,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,NA,"Gain",NA,"(0,20]"
"1:102",2,"second_win",178,1,"right",0,"4","first_time",0,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,NA,"Gain",1,"(0,20]"
"1:103",3,"second_win",194,0,"left",0.5,"2","first_time",0.0125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:104",4,"second_win",189,0,"left",0.5,"2","first_time",0.025,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:105",5,"second_win",182,1,"right",1,"4","first_time",0.05,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",1,"(0,20]"
"1:106",6,"second_win",183,0,"left",0.5,"2","first_time",0.0625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,1,"Gain",0,"(0,20]"
"1:107",7,"second_win",184,1,"right",0,"4","first_time",0.0625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,1,"Gain",1,"(0,20]"
"1:108",8,"second_win",308,0,"left",0.5,"2","first_time",0.075,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:109",9,"second_win",187,1,"right",1,"4","first_time",0.1,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",1,"(0,20]"
"1:110",10,"second_win",301,1,"right",0,"4","first_time",0.1,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,1,"Gain",1,"(0,20]"
"1:111",11,"second_win",260,0,"left",0.5,"2","first_time",0.1125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:112",12,"second_win",132,0,"left",0.5,"2","first_time",0.125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:113",13,"second_win",177,0,"left",0.5,"2","first_time",0.1375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:114",14,"second_win",128,1,"right",1,"4","first_time",0.1625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",1,"(0,20]"
"1:115",15,"second_win",252,0,"left",0.5,"2","first_time",0.175,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,1,"Gain",0,"(0,20]"
"1:116",16,"second_win",155,1,"right",0,"4","first_time",0.175,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,1,"Gain",1,"(0,20]"
"1:117",17,"second_win",293,1,"right",0,"4","first_time",0.175,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",1,"(0,20]"
"1:118",18,"second_win",111,1,"right",0,"4","first_time",0.175,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",1,"(0,20]"
"1:119",19,"second_win",74,0,"left",0.5,"2","first_time",0.1875,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:120",20,"second_win",261,0,"left",0.5,"2","first_time",0.2,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,1,0,"Gain",0,"(0,20]"
"1:121",21,"second_win",281,0,"left",0.5,"2","first_time",0.2125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",0,"(20,40]"
"1:122",22,"second_win",267,1,"right",1,"4","first_time",0.2375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",1,"(20,40]"
"1:123",23,"second_win",274,0,"left",0.5,"2","first_time",0.25,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:124",24,"second_win",309,0,"left",0.5,"2","first_time",0.2625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:125",25,"second_win",306,0,"left",0.5,"2","first_time",0.275,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:126",26,"second_win",181,1,"right",1,"4","first_time",0.3,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",1,"(20,40]"
"1:127",27,"second_win",97,0,"left",0.5,"2","first_time",0.3125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:128",28,"second_win",212,0,"left",0.5,"2","first_time",0.325,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:129",29,"second_win",175,0,"left",0.5,"2","first_time",0.3375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:130",30,"second_win",42,1,"right",0,"4","first_time",0.3375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",1,"(20,40]"
"1:131",31,"second_win",265,0,"left",0.5,"2","first_time",0.35,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",0,"(20,40]"
"1:132",32,"second_win",292,1,"right",1,"4","first_time",0.375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",1,"(20,40]"
"1:133",33,"second_win",244,0,"left",0.5,"2","first_time",0.3875,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:134",34,"second_win",312,0,"left",0.5,"2","first_time",0.4,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",0,"(20,40]"
"1:135",35,"second_win",303,1,"right",0,"4","first_time",0.4,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,1,"Gain",1,"(20,40]"
"1:136",36,"second_win",94,0,"left",0.5,"2","first_time",0.4125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",0,"(20,40]"
"1:137",37,"second_win",258,0,"left",0.5,"2","first_time",0.425,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",0,"(20,40]"
"1:138",38,"second_win",280,0,"left",0.5,"2","first_time",0.4375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",0,"(20,40]"
"1:139",39,"second_win",271,0,"left",0.5,"2","first_time",0.45,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",0,"(20,40]"
"1:140",40,"second_win",215,1,"right",0,"4","first_time",0.45,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,2,0,"Gain",1,"(20,40]"
"1:141",41,"second_win",220,0,"left",0.5,"2","first_time",0.4625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:142",42,"second_win",231,1,"right",1,"4","first_time",0.4875,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",1,"(40,60]"
"1:143",43,"second_win",284,0,"left",0.5,"2","first_time",0.5,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",0,"(40,60]"
"1:144",44,"second_win",146,0,"left",0.5,"2","first_time",0.5125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",0,"(40,60]"
"1:145",45,"second_win",300,1,"right",0,"4","first_time",0.5125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",1,"(40,60]"
"1:146",46,"second_win",211,0,"left",0.5,"2","first_time",0.525,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:147",47,"second_win",146,0,"left",0.5,"2","first_time",0.5375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:148",48,"second_win",213,0,"left",0.5,"2","first_time",0.55,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:149",49,"second_win",240,0,"left",0.5,"2","first_time",0.5625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:150",50,"second_win",285,1,"right",1,"4","first_time",0.5875,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",1,"(40,60]"
"1:151",51,"second_win",251,0,"left",0.5,"2","first_time",0.6,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",0,"(40,60]"
"1:152",52,"second_win",176,0,"left",0.5,"2","first_time",0.6125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",0,"(40,60]"
"1:153",53,"second_win",305,1,"right",0,"4","first_time",0.6125,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",1,"(40,60]"
"1:154",54,"second_win",225,0,"left",0.5,"2","first_time",0.625,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:155",55,"second_win",290,0,"left",0.5,"2","first_time",0.6375,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:156",56,"second_win",273,0,"left",0.5,"2","first_time",0.65,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",0,"(40,60]"
"1:157",57,"second_win",296,1,"right",1,"4","first_time",0.675,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,0,"Gain",1,"(40,60]"
"1:158",58,"second_win",105,0,"left",0.5,"2","first_time",0.6875,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",0,"(40,60]"
"1:159",59,"second_win",249,0,"left",0.5,"2","first_time",0.7,"cd2","Control","Restaurant",34,"F",0,0.303030303030303,0,200,8,3,1,"Gain",0,"(40,60]"
