"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","condition","video","age","gender","risk_first_to_mind","total_risk","judged_percent","block","last_risk","experiment","PANAS_positive","PANAS_negative","draw_left","draw_right","draw_total","draw_risk"
"1:53",53,"first_win","334",FALSE,"right",0.5,"3","first_time",0.65,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain",29,13,6,4,8,6
"1:54",54,"first_win","563",TRUE,"left",0,"4","first_time",0.65,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain",29,13,6,4,8,6
"1:55",55,"first_win","303",TRUE,"left",1,"4","first_time",0.675,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain",29,13,6,4,8,6
"1:56",56,"first_win","450",FALSE,"right",0.5,"3","first_time",0.6875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain",29,13,6,4,8,6
"1:57",57,"first_win","381",FALSE,"right",0.5,"3","first_time",0.7,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain",29,13,6,4,8,6
"1:58",58,"first_win","583",FALSE,"right",0.5,"3","first_time",0.7125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain",29,13,6,4,8,6
"1:59",59,"first_win","243",TRUE,"left",0,"4","first_time",0.7125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain",29,13,6,4,8,6
"1:60",60,"first_win","267",TRUE,"left",0,"4","first_time",0.7125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain",29,13,6,4,8,6
"1:61",61,"first_win","2441",TRUE,"left",1,"4","first_time",0.7375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain",29,13,6,4,8,6
"1:62",62,"first_win","463",TRUE,"left",0,"4","first_time",0.7375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:63",63,"first_win","351",FALSE,"right",0.5,"3","first_time",0.75,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain",29,13,6,4,8,6
"1:64",64,"first_win","711",FALSE,"right",0.5,"3","first_time",0.7625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain",29,13,6,4,8,6
"1:65",65,"first_win","275",FALSE,"right",0.5,"3","first_time",0.775,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain",29,13,6,4,8,6
"1:66",66,"first_win","551",FALSE,"right",0.5,"3","first_time",0.7875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain",29,13,6,4,8,6
"1:67",67,"first_win","275",TRUE,"left",1,"4","first_time",0.8125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain",29,13,6,4,8,6
"1:68",68,"first_win","388",FALSE,"right",0.5,"3","first_time",0.825,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:69",69,"first_win","742",FALSE,"right",0.5,"3","first_time",0.8375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:70",70,"first_win","395",FALSE,"right",0.5,"3","first_time",0.85,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:71",71,"first_win","496",TRUE,"left",1,"4","first_time",0.875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:72",72,"first_win","400",FALSE,"right",0.5,"3","first_time",0.8875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:73",73,"first_win","271",FALSE,"right",0.5,"3","first_time",0.9,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:74",74,"first_win","293",FALSE,"right",0.5,"3","first_time",0.9125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:75",75,"first_win","368",FALSE,"right",0.5,"3","first_time",0.925,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:76",76,"first_win","284",TRUE,"left",1,"4","first_time",0.95,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:77",77,"first_win","272",FALSE,"right",0.5,"3","first_time",0.9625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:78",78,"first_win","246",FALSE,"right",0.5,"3","first_time",0.975,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:79",79,"first_win","377",FALSE,"right",0.5,"3","first_time",0.9875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:80",80,"first_win","1028",TRUE,"left",1,"4","first_time",1.0125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain",29,13,6,4,8,6
"1:81",81,"first_win","294",FALSE,"right",0.5,"3","first_time",1.025,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:82",82,"first_win","298",FALSE,"right",0.5,"3","first_time",1.0375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:83",83,"first_win","253",FALSE,"right",0.5,"3","first_time",1.05,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:84",84,"first_win","242",TRUE,"left",0,"4","first_time",1.05,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:85",85,"first_win","270",TRUE,"left",1,"4","first_time",1.075,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,0,"Gain",29,13,6,4,8,6
"1:86",86,"first_win","282",FALSE,"right",0.5,"3","first_time",1.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:87",87,"first_win","372",FALSE,"right",0.5,"3","first_time",1.1,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:88",88,"first_win","394",FALSE,"right",0.5,"3","first_time",1.1125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:89",89,"first_win","628",FALSE,"right",0.5,"3","first_time",1.125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:90",90,"first_win","529",TRUE,"left",1,"4","first_time",1.15,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:91",91,"first_win","569",FALSE,"right",0.5,"3","first_time",1.1625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:92",92,"first_win","342",FALSE,"right",0.5,"3","first_time",1.175,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:93",93,"first_win","308",FALSE,"right",0.5,"3","first_time",1.1875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:94",94,"first_win","193",FALSE,"right",0.5,"3","first_time",1.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:95",95,"first_win","296",TRUE,"left",0,"4","first_time",1.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,1,"Gain",29,13,6,4,8,6
"1:96",96,"first_win","170",TRUE,"left",0,"4","first_time",1.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,0,"Gain",29,13,6,4,8,6
"1:97",97,"first_win","272",TRUE,"left",0,"4","first_time",1.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,0,"Gain",29,13,6,4,8,6
"1:98",98,"first_win","413",TRUE,"left",0,"4","first_time",1.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,0,"Gain",29,13,6,4,8,6
"1:99",99,"first_win","486",TRUE,"left",0,"4","first_time",1.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,0,"Gain",29,13,6,4,8,6
"1:100",100,"first_win","74",FALSE,"right",0.5,"3","first_time",1.2125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,5,0,"Gain",29,13,6,4,8,6
"1:101",1,"first_win","3108",TRUE,"left",1,"3","first_time",0.025,"cd10","General","Hospital",20,"F",0,0.3,55,1,NA,"Gain",20,30,4,7,9,4
"1:102",2,"first_win","1479",FALSE,"right",0.5,"1","first_time",0.0375,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:103",3,"first_win","1185",FALSE,"right",0.5,"1","first_time",0.05,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:104",4,"first_win","627",TRUE,"left",0,"3","first_time",0.05,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:105",5,"first_win","1044",TRUE,"left",1,"3","first_time",0.075,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:106",6,"first_win","786",FALSE,"right",0.5,"1","first_time",0.0875,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:107",7,"first_win","551",FALSE,"right",0.5,"1","first_time",0.1,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:108",8,"first_win","470",TRUE,"left",0,"3","first_time",0.1,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:109",9,"first_win","261",FALSE,"right",0.5,"1","first_time",0.1125,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:110",10,"first_win","348",FALSE,"right",0.5,"1","first_time",0.125,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:111",11,"first_win","370",FALSE,"right",0.5,"1","first_time",0.1375,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:112",12,"first_win","336",TRUE,"left",0,"3","first_time",0.1375,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:113",13,"first_win","958",TRUE,"left",0,"3","first_time",0.1375,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:114",14,"first_win","307",FALSE,"right",0.5,"1","first_time",0.15,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:115",15,"first_win","439",TRUE,"left",1,"3","first_time",0.175,"cd10","General","Hospital",20,"F",0,0.3,55,1,0,"Gain",20,30,4,7,9,4
"1:116",16,"first_win","445",FALSE,"right",0.5,"1","first_time",0.1875,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:117",17,"first_win","556",FALSE,"right",0.5,"1","first_time",0.2,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:118",18,"first_win","1025",FALSE,"right",0.5,"1","first_time",0.2125,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:119",19,"first_win","265",FALSE,"right",0.5,"1","first_time",0.225,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:120",20,"first_win","444",TRUE,"left",0,"3","first_time",0.225,"cd10","General","Hospital",20,"F",0,0.3,55,1,1,"Gain",20,30,4,7,9,4
"1:121",21,"first_win","360",TRUE,"left",1,"3","first_time",0.25,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:122",22,"first_win","1608",TRUE,"left",0,"3","first_time",0.25,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:123",23,"first_win","310",TRUE,"left",1,"3","first_time",0.275,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:124",24,"first_win","794",TRUE,"left",1,"3","first_time",0.3,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:125",25,"first_win","886",FALSE,"right",0.5,"1","first_time",0.3125,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:126",26,"first_win","309",FALSE,"right",0.5,"1","first_time",0.325,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:127",27,"first_win","633",TRUE,"left",1,"3","first_time",0.35,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:128",28,"first_win","362",FALSE,"right",0.5,"1","first_time",0.3625,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:129",29,"first_win","393",TRUE,"left",0,"3","first_time",0.3625,"cd10","General","Hospital",20,"F",0,0.3,55,2,1,"Gain",20,30,4,7,9,4
"1:130",30,"first_win","327",TRUE,"left",0,"3","first_time",0.3625,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:131",31,"first_win","250",TRUE,"left",0,"3","first_time",0.3625,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:132",32,"first_win","382",TRUE,"left",0,"3","first_time",0.3625,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:133",33,"first_win","329",TRUE,"left",0,"3","first_time",0.3625,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:134",34,"first_win","503",FALSE,"right",0.5,"1","first_time",0.375,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:135",35,"first_win","529",FALSE,"right",0.5,"1","first_time",0.3875,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:136",36,"first_win","438",FALSE,"right",0.5,"1","first_time",0.4,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:137",37,"first_win","352",TRUE,"left",0,"3","first_time",0.4,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:138",38,"first_win","342",FALSE,"right",0.5,"1","first_time",0.4125,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:139",39,"first_win","267",FALSE,"right",0.5,"1","first_time",0.425,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:140",40,"first_win","402",FALSE,"right",0.5,"1","first_time",0.4375,"cd10","General","Hospital",20,"F",0,0.3,55,2,0,"Gain",20,30,4,7,9,4
"1:141",41,"first_win","916",FALSE,"right",0.5,"1","first_time",0.45,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:142",42,"first_win","324",FALSE,"right",0.5,"1","first_time",0.4625,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:143",43,"first_win","235",FALSE,"right",0.5,"1","first_time",0.475,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:144",44,"first_win","314",FALSE,"right",0.5,"1","first_time",0.4875,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:145",45,"first_win","233",FALSE,"right",0.5,"1","first_time",0.5,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:146",46,"first_win","464",TRUE,"left",0,"3","first_time",0.5,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:147",47,"first_win","437",TRUE,"left",0,"3","first_time",0.5,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:148",48,"first_win","227",FALSE,"right",0.5,"1","first_time",0.5125,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:149",49,"first_win","303",FALSE,"right",0.5,"1","first_time",0.525,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:150",50,"first_win","378",FALSE,"right",0.5,"1","first_time",0.5375,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:151",51,"first_win","262",FALSE,"right",0.5,"1","first_time",0.55,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:152",52,"first_win","251",FALSE,"right",0.5,"1","first_time",0.5625,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:153",53,"first_win","914",TRUE,"left",1,"3","first_time",0.5875,"cd10","General","Hospital",20,"F",0,0.3,55,3,0,"Gain",20,30,4,7,9,4
"1:154",54,"first_win","529",FALSE,"right",0.5,"1","first_time",0.6,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:155",55,"first_win","830",FALSE,"right",0.5,"1","first_time",0.6125,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:156",56,"first_win","488",FALSE,"right",0.5,"1","first_time",0.625,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:157",57,"first_win","342",FALSE,"right",0.5,"1","first_time",0.6375,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:158",58,"first_win","92",FALSE,"right",0.5,"1","first_time",0.65,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:159",59,"first_win","515",FALSE,"right",0.5,"1","first_time",0.6625,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:160",60,"first_win","26",FALSE,"right",0.5,"1","first_time",0.675,"cd10","General","Hospital",20,"F",0,0.3,55,3,1,"Gain",20,30,4,7,9,4
"1:161",61,"first_win","3087",FALSE,"right",0.5,"1","first_time",0.6875,"cd10","General","Hospital",20,"F",0,0.3,55,4,1,"Gain",20,30,4,7,9,4
"1:162",62,"first_win","12",FALSE,"right",0.5,"1","first_time",0.7,"cd10","General","Hospital",20,"F",0,0.3,55,4,1,"Gain",20,30,4,7,9,4
